self-balancing,4384
,,LOW FLOW FLUID CONTROLLER APPARATUS AND SYSTEM,US2018306458,"=HYPERLINK(""https://worldwide.espacenet.com/publicationDetails/biblio?II=0&ND=3&adjacent=true&locale=en_EP&FT=D&date=20181025&CC=US&NR=2018306458A1&KC=A1"")"
,,PORTABLE GREEN POWER DEVICE,US2018307261,"=HYPERLINK(""https://worldwide.espacenet.com/publicationDetails/biblio?II=1&ND=3&adjacent=true&locale=en_EP&FT=D&date=20181025&CC=US&NR=2018307261A1&KC=A1"")"
,,SELF-BALANCING SCOOTER AND MAIN FRAME ASSEMBLY THEREOF,US2018297660,"=HYPERLINK(""https://worldwide.espacenet.com/publicationDetails/biblio?II=2&ND=3&adjacent=true&locale=en_EP&FT=D&date=20181018&CC=US&NR=2018297660A1&KC=A1"")"
,,NOVEL SELF-BALANCING ELECTRIC VEHICLE,WO2018166424,"=HYPERLINK(""https://worldwide.espacenet.com/publicationDetails/biblio?II=3&ND=3&adjacent=true&locale=en_EP&FT=D&date=20180920&CC=WO&NR=2018166424A1&KC=A1"")"
,,SELF-BALANCING POWERED UNICYCLE DEVICE,US2018265159,"=HYPERLINK(""https://worldwide.espacenet.com/publicationDetails/biblio?II=4&ND=3&adjacent=true&locale=en_EP&FT=D&date=20180920&CC=US&NR=2018265159A1&KC=A1"")"
,,"THE METHOD OF CONTROLLING OF THE MOTION PARAMETERS OF A BOLT BY MEANS OF SUPPORTING ITS RECOIL SPRING ONTO THE MOVABLE PART THAT IS MOVING INTO THE FIRING DIRECTION UNDER ACTION OF PROPELLANT GASES OF THE SHOT. MODULAR FIREARMS HAVING THE SELF-BALANCING RECHARGING MECHANISM WITH DECREASED RECOIL FORCE, WHICH ARE DESIGNED ON THE BASIS OF THIS METHOD",CA2960545,"=HYPERLINK(""https://worldwide.espacenet.com/publicationDetails/biblio?II=5&ND=3&adjacent=true&locale=en_EP&FT=D&date=20180913&CC=CA&NR=2960545A1&KC=A1"")"
,,SEATED RIDING DEVICE WHICH IS INSTALLABLE ON A SELF-BALANCING SCOOTER,WO2018164609,"=HYPERLINK(""https://worldwide.espacenet.com/publicationDetails/biblio?II=6&ND=3&adjacent=true&locale=en_EP&FT=D&date=20180913&CC=WO&NR=2018164609A1&KC=A1"")"
,,"SELF-BALANCING DEVICE, ELECTRIC VEHICLE, POSTURE VEHICLE, MANNED TRUNK AND TWO-WHEELED SKATEBOARD",WO2018161947,"=HYPERLINK(""https://worldwide.espacenet.com/publicationDetails/biblio?II=7&ND=3&adjacent=true&locale=en_EP&FT=D&date=20180913&CC=WO&NR=2018161947A1&KC=A1"")"
,,Connectable toy figurines,US10105613,"=HYPERLINK(""https://worldwide.espacenet.com/publicationDetails/biblio?II=8&ND=3&adjacent=true&locale=en_EP&FT=D&date=20181023&CC=US&NR=10105613B1&KC=B1"")"
,,Self-balancing method after start of balanced vehicle by using two gyroscopes to make the two tilt angles approached to zero degree,TW201819878,"=HYPERLINK(""https://worldwide.espacenet.com/publicationDetails/biblio?II=9&ND=3&adjacent=true&locale=en_EP&FT=D&date=20180601&CC=TW&NR=201819878A&KC=A"")"
